,Animal ID,Name,DateTime,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Month,Year
15578,A730888,Kaly,2017-06-27 13:35:00,2015-07-12,Euthanasia,Rabies Risk,Dog,Spayed Female,1 year,Black Mouth Cur Mix,Brown/White,Jun,2017
46685,A829378,Unknown,2021-02-09 12:29:00,2019-02-09,Euthanasia,Suffering,Other,Unknown,2 years,Raccoon,Black/White,Feb,2021
116995,A853771,A853771,2022-03-24 16:37:00,2021-03-24,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon,Black Smoke/Gray,Mar,2022
41671,A789326,Unknown,2019-02-19 16:40:00,2017-02-19,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat Mix,Black/Gray,Feb,2019
20261,A790960,Unknown,2019-03-19 15:19:00,2018-03-19,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Black,Mar,2019
37500,A764440,Unknown,2017-12-30 11:37:00,2015-12-30,Euthanasia,Suffering,Other,Unknown,2 years,Raccoon,Gray/Black,Dec,2017
100957,A827968,Unknown,2021-01-04 17:50:00,2019-01-04,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat,Brown,Jan,2021
38521,A813806,Unknown,2020-02-18 18:52:00,2019-02-18,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown,Feb,2020
130132,A805660,Unknown,2019-09-30 13:23:00,2019-03-30,Euthanasia,Rabies Risk,Other,Intact Male,6 months,Raccoon,Gray/Black,Sep,2019
71448,A794378,Gus,2019-11-27 15:27:00,2017-05-07,Euthanasia,Aggressive,Dog,Neutered Male,2 years,Anatol Shepherd Mix,Brown/Black,Nov,2019
132658,A853129,A853129,2022-03-17 10:29:00,2021-08-14,Euthanasia,Medical,Cat,Spayed Female,7 months,Domestic Shorthair,Black,Mar,2022
91242,A878371,Unknown,2023-04-15 12:04:00,2021-04-11,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon,Brown,Apr,2023
92820,A797988,Unknown,2019-06-20 12:00:00,2018-06-19,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown,Jun,2019
48202,A701304,Unknown,2015-04-28 08:25:00,2013-04-27,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon Mix,Gray/Black,Apr,2015
113919,A867647,Unknown,2022-10-24 14:59:00,2020-10-21,Euthanasia,Medical,Other,Unknown,2 years,Bat,Brown,Oct,2022
14774,A760190,Unknown,2017-10-14 12:32:00,2015-10-14,Euthanasia,Suffering,Cat,Unknown,2 years,Domestic Shorthair Mix,White/Orange,Oct,2017
63041,A691810,Unknown,2014-11-14 14:46:00,2000-11-10,Euthanasia,Suffering,Dog,Intact Female,14 years,Toy Poodle Mix,White,Nov,2014
23337,A708461,Unknown,2015-07-28 11:15:00,2013-07-28,Euthanasia,Suffering,Cat,Unknown,2 years,Domestic Shorthair Mix,Torbie,Jul,2015
34444,A783368,Unknown,2018-10-30 10:34:00,2016-10-29,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat Mix,Brown/Black,Oct,2018
134288,A726974,Unknown,2016-05-17 12:23:00,2015-05-17,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown,May,2016
42862,A686026,Unknown,2014-08-16 08:36:00,2013-08-15,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Aug,2014
31521,A746367,Unknown,2017-04-02 09:18:00,2015-04-01,Euthanasia,Rabies Risk,Other,Unknown,2 years,Skunk Mix,Black/White,Apr,2017
101380,A876886,Opie,2023-05-17 18:27:00,2021-03-21,Euthanasia,Suffering,Dog,Neutered Male,2 years,Border Collie/Great Pyrenees,White/Black,May,2023
148689,A859931,Unknown,2022-06-25 09:54:00,2020-06-21,Euthanasia,Suffering,Other,Unknown,2 years,Raccoon,Brown,Jun,2022
38437,A698781,Sandy,2015-03-23 13:15:00,2012-03-18,Euthanasia,Suffering,Dog,Spayed Female,3 years,Labrador Retriever Mix,Tan/White,Mar,2015
148435,A865404,Unknown,2022-09-10 17:25:00,2022-07-10,Euthanasia,Suffering,Cat,Intact Male,2 months,Domestic Shorthair,Cream Tabby,Sep,2022
144921,A852421,Unknown,2022-03-03 08:57:00,2020-03-02,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat,Brown/Brown,Mar,2022
78556,A694798,Dixie,2015-03-17 13:41:00,2013-01-04,Euthanasia,Behavior,Dog,Spayed Female,2 years,Pit Bull Mix,Tan/White,Mar,2015
23266,A722812,Unknown,2016-03-23 08:35:00,2015-09-22,Euthanasia,Rabies Risk,Other,Unknown,6 months,Bat,Brown,Mar,2016
45500,A696283,Princess,2016-03-17 13:53:00,2013-02-02,Euthanasia,Court/Investigation,Dog,Spayed Female,3 years,Pit Bull Mix,White/Tan,Mar,2016
21408,A778812,Unknown,2018-08-20 18:36:00,2016-08-20,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon Mix,Black/Gray,Aug,2018
90166,A824805,Unknown,2020-10-25 11:18:00,2018-10-21,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat,Brown,Oct,2020
17106,A768593,Unknown,2018-03-22 14:02:00,2014-03-22,Euthanasia,Rabies Risk,Other,Unknown,4 years,Raccoon Mix,Gray/Black,Mar,2018
49905,A730856,Unknown,2016-07-12 15:56:00,2015-01-11,Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,Jul,2016
127805,A722809,Unknown,2016-03-23 08:31:00,2012-03-22,Euthanasia,Rabies Risk,Other,Unknown,4 years,Raccoon Mix,Gray/Black,Mar,2016
127746,A642867,Unknown,2015-02-05 19:06:00,2012-08-15,Euthanasia,Suffering,Cat,Spayed Female,2 years,Siamese Mix,Lilac Point,Feb,2015
133046,A658013,Marcos,2013-10-24 17:32:00,2006-07-05,Euthanasia,Behavior,Dog,Neutered Male,7 years,Blue Lacy Mix,Blue/White,Oct,2013
133010,A720696,Unknown,2016-02-15 09:35:00,2015-02-13,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Feb,2016
81324,A727800,Unknown,2016-05-26 10:53:00,2014-05-26,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon Mix,Black/White,May,2016
56463,A860250,Unknown,2022-06-25 09:05:00,2020-06-24,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat,Brown,Jun,2022
126224,A824409,Unknown,2020-10-15 09:41:00,2019-10-14,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Black,Oct,2020
12718,A635622,Quinn,2014-07-29 16:52:00,2003-08-25,Euthanasia,Suffering,Dog,Neutered Male,10 years,Rottweiler Mix,Black/Brown,Jul,2014
85441,A813345,Unknown,2020-02-09 10:22:00,2018-02-08,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat,Brown,Feb,2020
86796,A692279,Unknown,2014-11-18 08:01:00,2014-05-17,Euthanasia,Rabies Risk,Other,Unknown,6 months,Bat Mix,Brown,Nov,2014
30352,A688174,Unknown,2014-09-15 18:58:00,2004-09-15,Euthanasia,Suffering,Cat,Intact Female,10 years,Domestic Shorthair Mix,Calico,Sep,2014
104311,A682411,Unknown,2014-06-27 14:36:00,2014-05-27,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Bat Mix,Red/Cream,Jun,2014
133394,A745433,Unknown,2017-03-18 08:24:00,2016-03-17,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Mar,2017
112776,A760157,Unknown,2017-10-13 21:44:00,2015-10-13,Euthanasia,Suffering,Dog,Intact Male,2 years,German Shepherd Mix,Black/Brown,Oct,2017
50665,A811495,Blue,2020-01-09 12:58:00,2011-04-04,Euthanasia,Suffering,Cat,Spayed Female,8 years,Domestic Shorthair,Blue,Jan,2020
3791,A722864,Unknown,2016-03-23 16:23:00,2015-09-23,Euthanasia,Rabies Risk,Other,Unknown,5 months,Bat,Brown,Mar,2016
142363,A674269,Unknown,2014-03-10 17:00:00,2013-03-10,Euthanasia,Suffering,Other,Unknown,1 year,Raccoon Mix,Brown/Black,Mar,2014
16777,A743668,Unknown,2017-02-14 14:12:00,2016-04-14,Euthanasia,Medical,Other,Unknown,10 months,Fox,Gray,Feb,2017
122762,A733661,Unknown,2016-08-26 10:02:00,2015-08-25,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Black,Aug,2016
148571,A882015,Bear,2023-08-29 14:00:00,2019-05-30,Euthanasia,Court/Investigation,Dog,Intact Male,4 years,Pit Bull,White/Blue,Aug,2023
15003,A747414,Hambone,2017-04-19 17:21:00,2012-04-19,Euthanasia,Rabies Risk,Cat,Neutered Male,5 years,Domestic Longhair Mix,Orange Tabby,Apr,2017
50622,A765920,Unknown,2018-01-30 08:41:00,2017-01-29,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown/Brown,Jan,2018
11712,A695345,Lacey,2015-05-04 13:53:00,2012-01-14,Euthanasia,Aggressive,Dog,Spayed Female,3 years,Dalmatian/Australian Cattle Dog,White/Black,May,2015
28855,A779810,Unknown,2018-09-06 08:51:00,2017-09-05,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Sep,2018
38968,A814119,Tony,2021-03-11 15:01:00,2017-02-24,Euthanasia,Behavior,Dog,Neutered Male,4 years,Pit Bull,Brown Brindle,Mar,2021
66795,A790034,Unknown,2019-03-03 18:54:00,2018-03-03,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Mar,2019
6310,A791001,Boss,2019-07-25 20:16:00,2015-03-20,Euthanasia,Aggressive,Dog,Neutered Male,4 years,American Bulldog Mix,Tan/White,Jul,2019
85254,A731330,Unknown,2016-07-21 08:25:00,2015-07-20,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Jul,2016
34438,A821923,Unknown,2020-08-23 09:28:00,2020-08-19,Euthanasia,Underage,Other,Unknown,4 days,Opossum,Gray/Gray,Aug,2020
132766,A674723,Unknown,2014-03-17 16:29:00,2012-03-17,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat Mix,Brown,Mar,2014
46510,A811048,Unknown,2019-12-26 19:01:00,2018-12-26,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown,Dec,2019
124147,A703771,Unknown,2015-05-29 17:15:00,2015-04-10,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,May,2015
151583,A868810,A868810,2022-11-14 13:01:00,2022-10-09,Euthanasia,Suffering,Cat,Unknown,1 month,Domestic Longhair,Black/White,Nov,2022
83460,A773030,Unknown,2018-05-26 17:32:00,2018-04-11,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Longhair Mix,Brown Tabby/White,May,2018
34010,A714611,Bodacious,2015-10-26 11:28:00,2004-10-25,Euthanasia,Suffering,Dog,Neutered Male,11 years,Pit Bull Mix,Tan/White,Oct,2015
8392,A818727,Unknown,2020-06-14 18:02:00,2018-06-14,Euthanasia,Rabies Risk,Other,Unknown,2 years,Skunk,Black/White,Jun,2020
55390,A857268,Roy,2022-06-10 16:09:00,2020-05-14,Euthanasia,Court/Investigation,Dog,Intact Male,2 years,Pit Bull,White/Brown,Jun,2022
43452,A828329,Unknown,2021-01-17 12:15:00,2011-01-13,Euthanasia,Suffering,Cat,Neutered Male,10 years,Domestic Shorthair,Brown Tabby,Jan,2021
71621,A758948,Unknown,2017-09-27 19:18:00,2017-06-24,Euthanasia,Rabies Risk,Other,Unknown,3 months,Squirrel Mix,Brown,Sep,2017
118257,A815547,Unknown,2020-03-18 17:09:00,2018-03-18,Euthanasia,Suffering,Other,Unknown,2 years,Bat,Brown,Mar,2020
150934,A878146,Unknown,2023-04-11 15:02:00,2021-04-07,Euthanasia,Suffering,Other,Unknown,2 years,Squirrel,Brown,Apr,2023
137330,A710276,Millie,2015-09-01 18:48:00,2010-08-20,Euthanasia,Suffering,Cat,Intact Female,5 years,Domestic Shorthair Mix,Brown Tabby,Sep,2015
87210,A679184,Unknown,2014-05-17 12:54:00,2013-05-17,Euthanasia,Suffering,Other,Unknown,1 year,Raccoon,Gray/Black,May,2014
152764,A883637,Unknown,2023-06-21 16:25:00,2021-06-21,Euthanasia,Suffering,Bird,Intact Female,2 years,Chicken,White/White,Jun,2023
3258,A677114,Unknown,2014-04-19 17:02:00,2013-04-19,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Apr,2014
11335,A691895,Unknown,2014-11-12 08:16:00,2013-11-11,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown,Nov,2014
87370,A723918,Unknown,2016-04-09 09:22:00,2015-04-08,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Apr,2016
116203,A732918,Unknown,2016-08-14 17:24:00,2014-08-14,Euthanasia,Suffering,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby,Aug,2016
3651,A729581,Unknown,2016-06-21 08:35:00,2015-06-20,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown/Black,Jun,2016
75722,A691176,Unknown,2014-10-31 08:43:00,2014-10-01,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Bat,Brown/Black,Oct,2014
23958,A672387,Unknown,2014-02-09 12:13:00,2013-02-09,Euthanasia,Suffering,Bird,Intact Female,1 year,Chicken Mix,Brown/Red,Feb,2014
93889,A748402,Unknown,2017-05-02 16:37:00,2016-05-02,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,May,2017
90237,A669522,Unknown,2013-12-22 08:25:00,2012-12-21,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Dec,2013
140329,A701324,Unknown,2015-04-27 16:40:00,2014-04-27,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Red/Brown,Apr,2015
72396,A664684,Unknown,2013-10-07 15:33:00,2012-10-07,Euthanasia,Medical,Other,Unknown,1 year,Opossum Mix,Gray/Black,Oct,2013
34184,A684041,Bree,2014-09-03 12:25:00,2010-07-18,Euthanasia,Aggressive,Dog,Spayed Female,4 years,Labrador Retriever Mix,Black,Sep,2014
114598,A835683,Unknown,2021-06-01 10:24:00,2019-05-31,Euthanasia,Suffering,Dog,Intact Female,2 years,German Shepherd,Black/Tan,Jun,2021
152988,A886112,886112,2023-08-03 08:46:00,2022-07-31,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown,Aug,2023
63471,A812021,Unknown,2020-01-15 20:09:00,2008-01-15,Euthanasia,Suffering,Cat,Neutered Male,12 years,Domestic Medium Hair,Orange Tabby/White,Jan,2020
37931,A802049,Unknown,2019-07-16 00:00:00,2019-07-17,Euthanasia,At Vet,Cat,Intact Male,0 years,Domestic Shorthair,White,Jul,2019
65770,A746911,Unknown,2017-04-11 10:41:00,2016-04-11,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Apr,2017
45274,A759877,Nova,2020-03-10 12:51:00,2014-10-08,Euthanasia,Court/Investigation,Dog,Intact Male,5 years,Pit Bull Mix,Blue/White,Mar,2020
140597,A675353,Unknown,2014-03-26 16:44:00,2013-05-26,Euthanasia,Suffering,Dog,Unknown,9 months,Chihuahua Shorthair Mix,Tan,Mar,2014
120323,A703888,Unknown,2015-06-02 10:40:00,2014-05-30,Euthanasia,Suffering,Dog,Intact Male,1 year,Miniature Poodle Mix,White,Jun,2015
106742,A668196,Unknown,2013-11-29 14:23:00,2008-11-29,Euthanasia,Suffering,Cat,Intact Female,5 years,Domestic Shorthair Mix,Brown Tabby,Nov,2013
82025,A698428,Unknown,2015-03-11 13:32:00,2014-03-11,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Mar,2015
59165,A724099,Unknown,2016-04-13 09:35:00,2012-04-11,Euthanasia,Rabies Risk,Cat,Intact Male,4 years,Domestic Shorthair Mix,Orange Tabby,Apr,2016
136331,A696120,Mousie,2015-04-24 15:19:00,2013-01-29,Euthanasia,Aggressive,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle/White,Apr,2015
15924,A684862,Kennedy,2014-09-08 13:59:00,2012-07-29,Euthanasia,Behavior,Dog,Neutered Male,2 years,Pit Bull Mix,Black,Sep,2014
85086,A697230,Minena,2015-02-20 17:35:00,2006-02-20,Euthanasia,Suffering,Cat,Intact Female,9 years,Domestic Shorthair Mix,Black,Feb,2015
120109,A680041,Unknown,2014-06-02 12:29:00,2002-05-29,Euthanasia,Suffering,Dog,Intact Female,12 years,Chihuahua Shorthair Mix,Black/White,Jun,2014
103784,A722690,Unknown,2016-03-21 17:25:00,2015-03-20,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Mar,2016
116153,A687605,Unknown,2014-09-08 08:54:00,2011-09-07,Euthanasia,Rabies Risk,Other,Unknown,3 years,Bat Mix,Brown,Sep,2014
80152,A666314,U,2013-10-30 11:40:00,2013-08-30,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby,Oct,2013
42728,A669308,Unknown,2013-12-18 19:04:00,2013-09-18,Euthanasia,Suffering,Dog,Intact Female,2 months,Pit Bull Mix,Tan/White,Dec,2013
142034,A815187,Unknown,2020-03-12 18:42:00,2018-03-11,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat,Brown/Brown,Mar,2020
77920,A820071,Unknown,2020-07-13 08:11:00,2018-07-11,Euthanasia,At Vet,Cat,Spayed Female,2 years,Domestic Shorthair,Calico,Jul,2020
83739,A699525,Unknown,2015-03-29 07:58:00,2015-03-01,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Bat,Black,Mar,2015
78507,A494990,Milo,2013-11-06 11:49:00,2002-11-02,Euthanasia,Suffering,Dog,Neutered Male,11 years,Chihuahua Shorthair Mix,White/Brown,Nov,2013
142501,A730327,Unknown,2016-07-02 16:02:00,2015-07-02,Euthanasia,Suffering,Cat,Unknown,1 year,Domestic Shorthair Mix,White/Gray,Jul,2016
111774,A716039,Dirty,2015-11-13 15:12:00,2014-05-13,Euthanasia,Suffering,Cat,Neutered Male,1 year,Siamese Mix,Seal Point,Nov,2015
140669,A732285,Unknown,2016-08-05 13:16:00,2015-08-05,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Black/Brown,Aug,2016
55145,A745368,Unknown,2017-03-19 09:40:00,2016-03-16,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Mar,2017
71024,A729630,Unknown,2016-06-26 14:19:00,2016-05-14,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,Jun,2016
9626,A673358,Unknown,2014-02-23 09:15:00,2013-02-22,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon,Brown/Black,Feb,2014
60291,A715508,Unknown,2015-11-06 09:23:00,2013-11-05,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon Mix,Black/White,Nov,2015
24762,A334065,Romeo,2015-05-26 12:26:00,2002-06-13,Euthanasia,Suffering,Dog,Neutered Male,12 years,Labrador Retriever/German Shepherd,Yellow,May,2015
26422,A732225,Unknown,2016-08-04 14:45:00,2001-08-04,Euthanasia,Suffering,Cat,Unknown,15 years,Domestic Shorthair Mix,Orange Tabby,Aug,2016
26664,A670388,Unknown,2014-01-11 16:16:00,2002-01-08,Euthanasia,Suffering,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Brown Tabby,Jan,2014
122208,A715748,Unknown,2015-11-10 08:07:00,2014-11-09,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Nov,2015
1372,A691499,Unknown,2014-11-06 08:14:00,2013-11-05,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Nov,2014
88158,A786582,Unknown,2018-12-28 16:20:00,2018-08-28,Euthanasia,Medical,Cat,Intact Female,4 months,Domestic Shorthair Mix,Tortie,Dec,2018
18424,A700081,Unknown,2015-04-10 18:05:00,2005-04-07,Euthanasia,Medical,Dog,Neutered Male,10 years,Chihuahua Shorthair Mix,Black/Cream,Apr,2015
141470,A718133,Unknown,2015-12-23 12:58:00,1999-12-21,Euthanasia,Suffering,Dog,Unknown,16 years,Chihuahua Shorthair,White/Silver,Dec,2015
111858,A516260,Skye,2016-02-12 10:42:00,2005-07-16,Euthanasia,Rabies Risk,Dog,Spayed Female,10 years,Pit Bull Mix,Tan/White,Feb,2016
123265,A857872,Unknown,2022-05-22 13:58:00,2021-05-22,Euthanasia,Rabies Risk,Other,Unknown,Rabies Risk,Bat,Brown,May,2022
36865,A757752,Unknown,2017-09-06 10:32:00,2016-09-06,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon,Gray/Black,Sep,2017
2082,A883979,Unknown,2023-07-01 13:31:00,2021-06-27,Euthanasia,Suffering,Other,Intact Male,2 years,Raccoon,Black,Jul,2023
74823,A689728,Unknown,2014-10-16 16:50:00,2011-10-08,Euthanasia,Behavior,Dog,Intact Female,3 years,Pit Bull Mix,Blue/White,Oct,2014
9333,A685572,Sissy,2014-08-09 13:33:00,2001-08-09,Euthanasia,Suffering,Cat,Unknown,13 years,Domestic Shorthair Mix,Black,Aug,2014
114369,A577780,Brandie,2013-12-15 16:05:00,2006-06-25,Euthanasia,Aggressive,Dog,Spayed Female,7 years,Siberian Husky Mix,Brown,Dec,2013
116124,A716516,Benjamin,2015-11-20 13:43:00,2011-05-20,Euthanasia,Suffering,Other,Intact Male,4 years,Ferret Mix,Sable,Nov,2015
31483,A753946,Unknown,2017-07-13 14:18:00,2017-02-13,Euthanasia,Medical,Other,Unknown,4 months,Raccoon Mix,Gray,Jul,2017
50436,A732789,Unknown,2016-08-13 12:25:00,2015-08-13,Euthanasia,Suffering,Bird,Unknown,1 year,Heron Mix,Black,Aug,2016
142519,A669576,Unknown,2013-12-24 16:29:00,2005-12-23,Euthanasia,Suffering,Cat,Intact Female,8 years,Domestic Shorthair Mix,Brown Tabby/White,Dec,2013
116021,A567323,Tiffany,2015-09-04 13:22:00,2008-02-24,Euthanasia,Suffering,Dog,Spayed Female,7 years,Shiba Inu Mix,Black/Tan,Sep,2015
77639,A677983,Neo,2015-06-02 13:20:00,2012-11-02,Euthanasia,Suffering,Dog,Neutered Male,2 years,Staffordshire Mix,Blue/White,Jun,2015
34189,A770417,Unknown,2018-04-20 08:57:00,2017-04-19,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Black,Apr,2018
6698,A712847,Unknown,2015-09-29 11:01:00,2014-09-29,Euthanasia,Suffering,Other,Unknown,1 year,Rabbit Sh Mix,Brown,Sep,2015
59262,A830639,Unknown,2021-03-14 09:40:00,2019-03-13,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat,Brown,Mar,2021
132703,A673719,Unknown,2014-03-01 11:02:00,2012-03-01,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon Mix,Gray/Black,Mar,2014
105117,A778112,Unknown,2018-08-08 19:16:00,2017-08-08,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Aug,2018
141309,A682664,Ocho,2014-07-08 17:16:00,2012-07-01,Euthanasia,Aggressive,Dog,Intact Male,2 years,Pit Bull Mix,Blue,Jul,2014
31082,A707148,Tonka,2015-07-09 09:40:00,2013-07-08,Euthanasia,Aggressive,Dog,Intact Male,2 years,Pit Bull Mix,Brown,Jul,2015
21646,A686683,Ira,2014-08-25 15:09:00,2002-08-25,Euthanasia,Suffering,Dog,Intact Male,12 years,German Shepherd Mix,White,Aug,2014
98758,A692369,Jack,2014-11-20 14:09:00,2012-12-19,Euthanasia,Rabies Risk,Dog,Neutered Male,1 year,Great Dane Mix,Black/White,Nov,2014
76294,A875879,Unknown,2023-03-06 14:55:00,2021-03-06,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat,Brown,Mar,2023
5828,A706106,Unknown,2015-06-24 17:50:00,2013-06-24,Euthanasia,Suffering,Cat,Intact Female,2 years,Domestic Shorthair Mix,Calico,Jun,2015
126639,A728296,Unknown,2016-06-02 10:58:00,2013-06-02,Euthanasia,Suffering,Cat,Intact Female,3 years,Domestic Shorthair Mix,Black,Jun,2016
104707,A782197,Boop,2018-11-01 09:00:00,2018-09-20,Euthanasia,At Vet,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie,Nov,2018
101703,A706134,Unknown,2015-06-29 15:12:00,2015-05-18,Euthanasia,Suffering,Cat,Intact Female,1 month,Siamese Mix,Blue Point,Jun,2015
109581,A695601,Unknown,2015-01-18 18:33:00,2014-07-18,Euthanasia,Medical,Other,Unknown,6 months,Opossum Mix,Gray,Jan,2015
52393,A775155,Unknown,2018-06-25 19:02:00,2016-06-25,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon Mix,Black/Gray,Jun,2018
138262,A722294,Unknown,2016-03-14 13:35:00,2015-09-14,Euthanasia,Rabies Risk,Other,Unknown,5 months,Bat,Brown,Mar,2016
61905,A839517,DuckDuck,2021-07-25 12:57:00,2019-07-23,Euthanasia,Aggressive,Dog,Intact Male,2 years,Pit Bull Mix,Black/White,Jul,2021
33521,A681843,Unknown,2014-06-21 09:14:00,2014-05-21,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Bat,Red,Jun,2014
36499,A751079,Unknown,2017-06-04 07:51:00,2016-06-03,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Jun,2017
40886,A853147,Unknown,2022-03-18 18:57:00,2010-03-14,Euthanasia,Suffering,Cat,Intact Male,12 years,Siamese,Lynx Point,Mar,2022
48828,A711689,Bella,2015-09-10 18:35:00,2012-09-10,Euthanasia,Suffering,Dog,Intact Female,3 years,Chihuahua Shorthair/Dachshund,Tricolor,Sep,2015
119857,A811538,Unknown,2020-01-17 10:06:00,2018-01-05,Euthanasia,Suffering,Bird,Unknown,2 years,Chicken,Brown/Red,Jan,2020
123833,A713271,Unknown,2015-10-05 11:48:00,2014-10-05,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Black/Brown,Oct,2015
75321,A719198,Unknown,2016-01-17 18:04:00,2014-01-15,Euthanasia,Rabies Risk,Other,Unknown,2 years,Skunk Mix,Black/White,Jan,2016
97981,A674122,Unknown,2014-03-07 16:26:00,2013-03-07,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown/Black,Mar,2014
150523,A872710,Unknown,2023-01-13 18:49:00,2021-01-13,Euthanasia,Rabies Risk,Other,Unknown,2 years,Fox,Brown/Gray,Jan,2023
110953,A716154,Unknown,2015-11-15 16:46:00,2015-09-18,Euthanasia,Suffering,Other,Intact Female,1 month,Squirrel Mix,Brown/Gray,Nov,2015
58102,A645246,Tyson,2014-06-23 19:12:00,2011-07-05,Euthanasia,Suffering,Dog,Intact Male,2 years,Mastiff Mix,Blue/White,Jun,2014
81772,A696789,Unknown,2015-02-12 13:41:00,2013-02-12,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat Mix,Brown,Feb,2015
112068,A825637,Unknown,2020-11-08 11:28:00,2020-10-13,Euthanasia,Suffering,Cat,Intact Female,3 weeks,Domestic Shorthair,Calico,Nov,2020
140019,A670950,Fredrick,2014-01-16 15:25:00,2012-01-16,Euthanasia,Suffering,Other,Unknown,2 years,Fox Mix,Red,Jan,2014
15606,A836774,Unknown,2021-06-14 15:32:00,2019-06-14,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon,Black/White,Jun,2021
97819,A727512,Unknown,2016-05-23 10:25:00,2015-05-22,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,May,2016
